timestamp,humidity,pir,motion,mic,temperature
1361896110000,29.00,0,-1,3,22.70
1361896110000,29.00,0,0,0,22.60
1361896113000,29.00,0,0,4,22.60
1361896116000,29.00,1,1,7,22.60
1361896118000,29.00,0,-1,8,22.60
1361896121000,29.00,0,0,5,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,7,22.60
1361896125000,29.00,1,1,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
1361896129000,29.00,1,0,5,22.60
